engine_version,ticker,strategy,strategy_parameters,sample,start_date,end_date,source_sha256,repaired_range_fields,initial_balance,risk_pct,contract_multiplier,tick_size,commission_per_contract,slippage_ticks,max_leverage,sharpe_ratio,max_drawdown_pct,cagr_pct,total_return_pct,exposure_pct,num_trades,profit_factor,total_costs
0.2.0,HG=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,0.01,-57.83,-5.19,-35.65,29.1,149,0.83,2605.0
0.2.0,HG=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,-0.03,-28.45,-2.36,-17.97,6.0,64,0.51,895.0
0.2.0,HG=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,0.27,-62.37,3.63,82.27,35.7,191,1.23,6075.0
0.2.0,HG=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,0.12,-26.81,0.71,12.62,19.9,117,1.19,1995.0
0.2.0,HG=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,0.16,-53.05,0.26,2.22,28.0,82,1.02,1585.0
0.2.0,HG=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,0.09,-29.87,0.27,2.24,9.2,45,1.08,785.0
0.2.0,ZW=F,2B Rule,lookback=20;confirmation_days=3,development,2000-08-14,2017-12-29,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.25,-44.2,2.76,60.55,61.7,520,1.05,26050.0
0.2.0,ZW=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-08-14,2017-12-29,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.2,-22.0,1.5,29.62,45.0,446,1.11,7095.0
0.2.0,ZW=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.15,-50.75,-0.06,-0.5,64.7,245,1.0,6020.0
0.2.0,ZW=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.15,-18.24,1.03,8.87,37.3,186,1.09,2265.0
0.2.0,ZW=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-01-31,2017-12-29,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.12,-66.02,-0.05,-0.77,38.7,206,1.0,7535.0
0.2.0,ZW=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-01-31,2017-12-29,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.15,-29.88,0.94,17.04,31.8,196,1.16,3370.0
0.2.0,ZW=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.17,-29.08,1.39,12.08,38.4,100,1.08,2510.0
0.2.0,ZW=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,f9ebe08a830115cf47f199dfde1c08f5800b0024e49442b3bec03daea7f9c78c,835,100000.0,0.02,50,0.25,2.5,1,20.0,0.01,-10.7,-0.16,-1.29,16.5,83,0.97,1135.0
0.2.0,ZC=F,2B Rule,lookback=20;confirmation_days=3,development,2000-08-14,2017-12-29,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.16,-82.84,-8.9,-80.2,50.6,452,0.8,15255.0
0.2.0,ZC=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-08-14,2017-12-29,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.17,-38.42,-2.33,-33.62,43.0,428,0.82,7195.0
0.2.0,ZC=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.65,-85.66,-18.64,-81.88,42.0,222,0.54,5440.0
0.2.0,ZC=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.4,-36.59,-4.27,-30.33,40.4,224,0.69,2875.0
0.2.0,ZC=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-02-28,2017-12-29,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.39,-71.19,-6.73,-69.05,37.5,211,0.67,5845.0
0.2.0,ZC=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-02-28,2017-12-29,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.64,-50.3,-3.99,-49.63,24.4,206,0.43,3005.0
0.2.0,ZC=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.4,-74.2,-14.53,-72.75,28.0,92,0.26,1725.0
0.2.0,ZC=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5938ec9cf7b637c4fba757500ad8fbca2f582e4fe74138990ef3e8eaaf5e3acd,831,100000.0,0.02,50,0.25,2.5,1,20.0,-0.52,-43.29,-6.44,-42.39,11.9,100,0.16,1305.0
0.2.0,ZS=F,2B Rule,lookback=20;confirmation_days=3,development,2000-10-13,2017-12-29,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,0.34,-76.67,6.1,177.21,51.5,487,1.21,16210.0
0.2.0,ZS=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-10-13,2017-12-29,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,0.39,-34.52,4.41,110.06,34.0,361,1.5,5610.0
